DMC,Floss Name,Red,Green,Blue
1,White Tin,227,227,230
2,Tin,215,215,216
3,Tin Medium,184,184,187
4,Tin Dark,174,174,177
5,Driftwood Light,227,204,190
6,Driftwood Medium Light,220,198,184
7,Driftwood,143,123,110
8,Driftwood Dark,106,80,70
9,Cocoa Very Dark,85,32,14
10,Tender Green Very Light,237,254,217
11,Tender Green Light,226,237,181
12,Tender Green,205,217,154
13,Nile Green Medium Light,191,246,224
14,Apple Green Pale,208,251,178
15,Apple Green,209,237,164
16,Chartreuse Light,201,194,88
17,Yellow Plum Light,229,226,114
18,Yellow Plum,217,213,109
19,Autumn Gold medium Light,247,201,95
20,Shrimp,247,175,147
21,Alizarin Light,215,153,130
22,Alizarin,188,96,78
23,Apple Blossom,237,226,237
24,White Lavender,224,215,238
25,Lavender Ultra Light,218,210,233
26,Lavender Pale,215,202,230
27,White Violet,240,238,249
28,Eggplant Medium Light,144,134,169
29,Eggplant,103,64,118
30,Blueberry Medium Light,125,119,165
31,Blueberry,80,81,141
32,Blueberry Dark,77,46,138
33,Fuschia,156,89,158
34,Fuschia Dark,125,48,100
35,Fuschia Very Dark,70,5,45
150,Dusty Rose Ultra Very Dark,171,2,73
151,Dusty Rose Very Light,240,206,212
152,Shell Pink Medium Light,226,160,153
153,Violet Very Light,230,204,217
154,Grape Very Dark,87,36,51
155,Blue Violet Medium Dark,152,145,182
156,Blue Violet Medium Light,163,174,209
157,Cornflower Blue Very Light,187,195,217
158,Cornflower Blue Very Dark,76,82,110
159,Blue Gray Light,199,202,215
160,Blue Gray Medium,153,159,183
161,Blue Gray,120,128,164
162,Blue Ultra Very Light,219,236,245
163,Celadon Green Medium,77,131,97
164,Forest Green Light,200,216,184
165,Moss Green Very Light,239,244,164
166,Moss Green Medium Light,192,200,64
167,Yellow Beige Very Dark,167,124,73
168,Pewter Very Light,209,209,209
169,Pewter Light,132,132,132
208,Lavender Very Dark,131,91,139
209,Lavender Dark,163,123,167
210,Lavender Medium,195,159,195
211,Lavender Light,227,203,227
221,Shell Pink Very Dark,136,62,67
223,Shell Pink Light,204,132,124
